,train_set 1,train_set 2,train_set 3,train_set 4,train_set 5,train_set 6,avg,std_err
constant model,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.03
NB plain,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.01
NB preprocessing,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.01
LDA plain,0.73,0.75,0.78,0.72,0.71,0.72,0.73,0.02
RR plain,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.03
NB data augmentation,0.87,0.91,0.5,0.5,0.55,0.5,0.64,0.08
LDA data augmentation,0.67,0.67,0.5,0.72,0.49,0.5,0.59,0.05
RR data augmentation,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.03
