,train_set 1,train_set 2,train_set 3,train_set 4,train_set 5,train_set 6,avg,std_err
constant model,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.03
NB plain,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.0
NB preprocessing,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.0
LDA plain,0.97,0.98,0.98,0.97,0.98,0.97,0.97,0.01
RR plain,0.97,0.98,0.98,0.97,0.98,0.97,0.97,0.01
NB data augmentation,0.97,0.99,0.88,0.97,0.95,0.97,0.96,0.02
LDA data augmentation,0.97,0.98,0.98,0.97,0.93,0.96,0.96,0.01
RR data augmentation,0.97,0.98,0.98,0.97,0.93,0.96,0.96,0.01
